Date,Number of late trains
January 2022,790.00
February 2022,596.00
March 2022,672.00
April 2022,530.00
May 2022,680.00
June 2022,697.00
July 2022,736.00
August 2022,848.00
September 2022,653.00
October 2022,779.00
November 2022,955.00
December 2022,755.00
January 2023,406.00
February 2023,875.00
March 2023,"1,539.00"
April 2023,"1,632.00"
May 2023,"1,382.00"
June 2023,"1,859.00"
July 2023,"1,685.00"
August 2023,"1,971.00"
September 2023,"1,623.00"
October 2023,"1,311.00"
November 2023,"1,523.00"
December 2023,"1,258.00"
January 2024,"1,139.00"
February 2024,791.00
March 2024,"1,005.00"
April 2024,757.00
May 2024,"1,075.00"
June 2024,"1,348.00"
July 2024,"1,100.00"
August 2024,"1,339.00"
September 2024,985.00
October 2024,"1,027.00"
November 2024,914.00